C84D  85 1 24                                   A:FF X:0 Y:0 P:AC SP:FB PPU:  0, 21 CYC:13
C84F  24 1 18                                   A:FF X:0 Y:0 P:AC SP:FB PPU:  0, 21 CYC:13
C851  18 A9 0                                   A:FF X:0 Y:0 P:EC SP:FB PPU:  0, 21 CYC:13
C852  A9 0 48                                   A:FF X:0 Y:0 P:EC SP:FB PPU:  0, 21 CYC:13
C854  48 A9 FF                                   A:0 X:0 Y:0 P:6E SP:FB PPU:  0, 21 CYC:13
C855  A9 FF 68                                   A:0 X:0 Y:0 P:6E SP:FA PPU:  0, 21 CYC:13
C857  68 D0 9                                   A:FF X:0 Y:0 P:EC SP:FA PPU:  0, 21 CYC:13
C858  D0 9 30                                   A:0 X:0 Y:0 P:6E SP:FB PPU:  0, 21 CYC:13
C85A  30 7 50                                   A:0 X:0 Y:0 P:6E SP:FB PPU:  0, 21 CYC:13
C85C  50 5 B0                                   A:0 X:0 Y:0 P:6E SP:FB PPU:  0, 21 CYC:13
C85E  B0 3 4C                                   A:0 X:0 Y:0 P:6E SP:FB PPU:  0, 21 CYC:13
C860  4C 67 C8                                   A:0 X:0 Y:0 P:6E SP:FB PPU:  0, 21 CYC:13
C867  EA A9 0                                   A:0 X:0 Y:0 P:6E SP:FB PPU:  0, 21 CYC:13
C868  A9 0 85                                   A:0 X:0 Y:0 P:6E SP:FB PPU:  0, 21 CYC:13
C86A  85 1 24                                   A:0 X:0 Y:0 P:6E SP:FB PPU:  0, 21 CYC:13
C86C  24 1 38                                   A:0 X:0 Y:0 P:6E SP:FB PPU:  0, 21 CYC:13
C86E  38 A9 FF                                   A:0 X:0 Y:0 P:2E SP:FB PPU:  0, 21 CYC:13
C86F  A9 FF 48                                   A:0 X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:13
C871  48 A9 0                                   A:FF X:0 Y:0 P:AD SP:FB PPU:  0, 21 CYC:13
C872  A9 0 68                                   A:FF X:0 Y:0 P:AD SP:FA PPU:  0, 21 CYC:13
C874  68 F0 9                                   A:0 X:0 Y:0 P:2F SP:FA PPU:  0, 21 CYC:13
C875  F0 9 10                                   A:FF X:0 Y:0 P:AD SP:FB PPU:  0, 21 CYC:13
C877  10 7 70                                   A:FF X:0 Y:0 P:AD SP:FB PPU:  0, 21 CYC:13
C879  70 5 90                                   A:FF X:0 Y:0 P:AD SP:FB PPU:  0, 21 CYC:13
C87B  90 3 4C                                   A:FF X:0 Y:0 P:AD SP:FB PPU:  0, 21 CYC:13
C87D  4C 84 C8                                   A:FF X:0 Y:0 P:AD SP:FB PPU:  0, 21 CYC:13
C884  60 EA 18                                   A:FF X:0 Y:0 P:AD SP:FB PPU:  0, 21 CYC:13
C603  20 85 C8                                   A:FF X:0 Y:0 P:AD SP:FD PPU:  0, 21 CYC:13
C885  EA 18 A9                                   A:FF X:0 Y:0 P:AD SP:FB PPU:  0, 21 CYC:13
C886  18 A9 FF                                   A:FF X:0 Y:0 P:AD SP:FB PPU:  0, 21 CYC:13
C887  A9 FF 85                                   A:FF X:0 Y:0 P:AC SP:FB PPU:  0, 21 CYC:13
C889  85 1 24                                   A:FF X:0 Y:0 P:AC SP:FB PPU:  0, 21 CYC:13
C88B  24 1 A9                                   A:FF X:0 Y:0 P:AC SP:FB PPU:  0, 21 CYC:13
C88D  A9 55 9                                   A:FF X:0 Y:0 P:EC SP:FB PPU:  0, 21 CYC:13
C88F  9 AA B0                                   A:55 X:0 Y:0 P:6C SP:FB PPU:  0, 21 CYC:13
